bw_khz,sf,payload_bytes,toa_ms
125,7,0,25.856
125,7,1,25.856
125,7,2,30.976
125,7,3,30.976
125,7,4,30.976
125,7,5,30.976
125,7,6,36.096
125,7,7,36.096
125,7,8,36.096
125,7,9,41.216
125,7,10,41.216
125,7,11,41.216
125,7,12,41.216
125,7,13,46.336
125,7,14,46.336
125,7,15,46.336
125,7,16,51.456
125,7,17,51.456
125,7,18,51.456
125,7,19,51.456
125,7,20,56.576
125,7,21,56.576
125,7,22,56.576
125,7,23,61.696
125,7,24,61.696
125,7,25,61.696
125,7,26,61.696
125,7,27,66.816
125,7,28,66.816
125,7,29,66.816
125,7,30,71.936
125,7,31,71.936
125,7,32,71.936
125,7,33,71.936
125,7,34,77.056
125,7,35,77.056
125,7,36,77.056
125,7,37,82.176
125,7,38,82.176
125,7,39,82.176
125,7,40,82.176
125,7,41,87.296
125,7,42,87.296
125,7,43,87.296
125,7,44,92.416
125,7,45,92.416
125,7,46,92.416
125,7,47,92.416
125,7,48,97.536
125,7,49,97.536
125,7,50,97.536
125,7,51,102.656
125,7,52,102.656
125,7,53,102.656
125,7,54,102.656
125,7,55,107.776
125,7,56,107.776
125,7,57,107.776
125,7,58,112.896
125,7,59,112.896
125,7,60,112.896
125,7,61,112.896
125,7,62,118.016
125,7,63,118.016
125,7,64,118.016
125,7,65,123.136
125,7,66,123.136
125,7,67,123.136
125,7,68,123.136
125,7,69,128.256
125,7,70,128.256
125,7,71,128.256
125,7,72,133.376
125,7,73,133.376
125,7,74,133.376
125,7,75,133.376
125,7,76,138.496
125,7,77,138.496
125,7,78,138.496
125,7,79,143.616
125,7,80,143.616
125,7,81,143.616
125,7,82,143.616
125,7,83,148.736
125,7,84,148.736
125,7,85,148.736
125,7,86,153.856
125,7,87,153.856
125,7,88,153.856
125,7,89,153.856
125,7,90,158.976
125,7,91,158.976
125,7,92,158.976
125,7,93,164.096
125,7,94,164.096
125,7,95,164.096
125,7,96,164.096
125,7,97,169.216
125,7,98,169.216
125,7,99,169.216
125,7,100,174.336
125,7,101,174.336
125,7,102,174.336
125,7,103,174.336
125,7,104,179.456
125,7,105,179.456
125,7,106,179.456
125,7,107,184.576
125,7,108,184.576
125,7,109,184.576
125,7,110,184.576
125,7,111,189.696
125,7,112,189.696
125,7,113,189.696
125,7,114,194.816
125,7,115,194.816
125,7,116,194.816
125,7,117,194.816
125,7,118,199.936
125,7,119,199.936
125,7,120,199.936
125,7,121,205.056
125,7,122,205.056
125,7,123,205.056
125,7,124,205.056
125,7,125,210.176
125,7,126,210.176
125,7,127,210.176
125,7,128,215.296
125,8,0,51.712
125,8,1,51.712
125,8,2,51.712
125,8,3,61.952
125,8,4,61.952
125,8,5,61.952
125,8,6,61.952
125,8,7,72.192
125,8,8,72.192
125,8,9,72.192
125,8,10,72.192
125,8,11,82.432
125,8,12,82.432
125,8,13,82.432
125,8,14,82.432
125,8,15,92.672
125,8,16,92.672
125,8,17,92.672
125,8,18,92.672
125,8,19,102.912
125,8,20,102.912
125,8,21,102.912
125,8,22,102.912
125,8,23,113.152
125,8,24,113.152
125,8,25,113.152
125,8,26,113.152
125,8,27,123.392
125,8,28,123.392
125,8,29,123.392
125,8,30,123.392
125,8,31,133.632
125,8,32,133.632
125,8,33,133.632
125,8,34,133.632
125,8,35,143.872
125,8,36,143.872
125,8,37,143.872
125,8,38,143.872
125,8,39,154.112
125,8,40,154.112
125,8,41,154.112
125,8,42,154.112
125,8,43,164.352
125,8,44,164.352
125,8,45,164.352
125,8,46,164.352
125,8,47,174.592
125,8,48,174.592
125,8,49,174.592
125,8,50,174.592
125,8,51,184.832
125,8,52,184.832
125,8,53,184.832
125,8,54,184.832
125,8,55,195.072
125,8,56,195.072
125,8,57,195.072
125,8,58,195.072
125,8,59,205.312
125,8,60,205.312
125,8,61,205.312
125,8,62,205.312
125,8,63,215.552
125,8,64,215.552
125,8,65,215.552
125,8,66,215.552
125,8,67,225.792
125,8,68,225.792
125,8,69,225.792
125,8,70,225.792
125,8,71,236.032
125,8,72,236.032
125,8,73,236.032
125,8,74,236.032
125,8,75,246.272
125,8,76,246.272
125,8,77,246.272
125,8,78,246.272
125,8,79,256.512
125,8,80,256.512
125,8,81,256.512
125,8,82,256.512
125,8,83,266.752
125,8,84,266.752
125,8,85,266.752
125,8,86,266.752
125,8,87,276.992
125,8,88,276.992
125,8,89,276.992
125,8,90,276.992
125,8,91,287.232
125,8,92,287.232
125,8,93,287.232
125,8,94,287.232
125,8,95,297.472
125,8,96,297.472
125,8,97,297.472
125,8,98,297.472
125,8,99,307.712
125,8,100,307.712
125,8,101,307.712
125,8,102,307.712
125,8,103,317.952
125,8,104,317.952
125,8,105,317.952
125,8,106,317.952
125,8,107,328.192
125,8,108,328.192
125,8,109,328.192
125,8,110,328.192
125,8,111,338.432
125,8,112,338.432
125,8,113,338.432
125,8,114,338.432
125,8,115,348.672
125,8,116,348.672
125,8,117,348.672
125,8,118,348.672
125,8,119,358.912
125,8,120,358.912
125,8,121,358.912
125,8,122,358.912
125,8,123,369.152
125,8,124,369.152
125,8,125,369.152
125,8,126,369.152
125,8,127,379.392
125,8,128,379.392
125,9,0,103.424
125,9,1,103.424
125,9,2,103.424
125,9,3,103.424
125,9,4,123.904
125,9,5,123.904
125,9,6,123.904
125,9,7,123.904
125,9,8,123.904
125,9,9,144.384
125,9,10,144.384
125,9,11,144.384
125,9,12,144.384
125,9,13,164.864
125,9,14,164.864
125,9,15,164.864
125,9,16,164.864
125,9,17,164.864
125,9,18,185.344
125,9,19,185.344
125,9,20,185.344
125,9,21,185.344
125,9,22,205.824
125,9,23,205.824
125,9,24,205.824
125,9,25,205.824
125,9,26,205.824
125,9,27,226.304
125,9,28,226.304
125,9,29,226.304
125,9,30,226.304
125,9,31,246.784
125,9,32,246.784
125,9,33,246.784
125,9,34,246.784
125,9,35,246.784
125,9,36,267.264
125,9,37,267.264
125,9,38,267.264
125,9,39,267.264
125,9,40,287.744
125,9,41,287.744
125,9,42,287.744
125,9,43,287.744
125,9,44,287.744
125,9,45,308.224
125,9,46,308.224
125,9,47,308.224
125,9,48,308.224
125,9,49,328.704
125,9,50,328.704
125,9,51,328.704
125,9,52,328.704
125,9,53,328.704
125,9,54,349.184
125,9,55,349.184
125,9,56,349.184
125,9,57,349.184
125,9,58,369.664
125,9,59,369.664
125,9,60,369.664
125,9,61,369.664
125,9,62,369.664
125,9,63,390.144
125,9,64,390.144
125,9,65,390.144
125,9,66,390.144
125,9,67,410.624
125,9,68,410.624
125,9,69,410.624
125,9,70,410.624
125,9,71,410.624
125,9,72,431.104
125,9,73,431.104
125,9,74,431.104
125,9,75,431.104
125,9,76,451.584
125,9,77,451.584
125,9,78,451.584
125,9,79,451.584
125,9,80,451.584
125,9,81,472.064
125,9,82,472.064
125,9,83,472.064
125,9,84,472.064
125,9,85,492.544
125,9,86,492.544
125,9,87,492.544
125,9,88,492.544
125,9,89,492.544
125,9,90,513.024
125,9,91,513.024
125,9,92,513.024
125,9,93,513.024
125,9,94,533.504
125,9,95,533.504
125,9,96,533.504
125,9,97,533.504
125,9,98,533.504
125,9,99,553.984
125,9,100,553.984
125,9,101,553.984
125,9,102,553.984
125,9,103,574.464
125,9,104,574.464
125,9,105,574.464
125,9,106,574.464
125,9,107,574.464
125,9,108,594.944
125,9,109,594.944
125,9,110,594.944
125,9,111,594.944
125,9,112,615.424
125,9,113,615.424
125,9,114,615.424
125,9,115,615.424
125,9,116,615.424
125,9,117,635.904
125,9,118,635.904
125,9,119,635.904
125,9,120,635.904
125,9,121,656.384
125,9,122,656.384
125,9,123,656.384
125,9,124,656.384
125,9,125,656.384
125,9,126,676.864
125,9,127,676.864
125,9,128,676.864
125,10,0,206.848
125,10,1,206.848
125,10,2,206.848
125,10,3,206.848
125,10,4,206.848
125,10,5,247.808
125,10,6,247.808
125,10,7,247.808
125,10,8,247.808
125,10,9,247.808
125,10,10,288.768
125,10,11,288.768
125,10,12,288.768
125,10,13,288.768
125,10,14,288.768
125,10,15,329.728
125,10,16,329.728
125,10,17,329.728
125,10,18,329.728
125,10,19,329.728
125,10,20,370.688
125,10,21,370.688
125,10,22,370.688
125,10,23,370.688
125,10,24,370.688
125,10,25,411.648
125,10,26,411.648
125,10,27,411.648
125,10,28,411.648
125,10,29,411.648
125,10,30,452.608
125,10,31,452.608
125,10,32,452.608
125,10,33,452.608
125,10,34,452.608
125,10,35,493.568
125,10,36,493.568
125,10,37,493.568
125,10,38,493.568
125,10,39,493.568
125,10,40,534.528
125,10,41,534.528
125,10,42,534.528
125,10,43,534.528
125,10,44,534.528
125,10,45,575.488
125,10,46,575.488
125,10,47,575.488
125,10,48,575.488
125,10,49,575.488
125,10,50,616.448
125,10,51,616.448
125,10,52,616.448
125,10,53,616.448
125,10,54,616.448
125,10,55,657.408
125,10,56,657.408
125,10,57,657.408
125,10,58,657.408
125,10,59,657.408
125,10,60,698.368
125,10,61,698.368
125,10,62,698.368
125,10,63,698.368
125,10,64,698.368
125,10,65,739.328
125,10,66,739.328
125,10,67,739.328
125,10,68,739.328
125,10,69,739.328
125,10,70,780.288
125,10,71,780.288
125,10,72,780.288
125,10,73,780.288
125,10,74,780.288
125,10,75,821.248
125,10,76,821.248
125,10,77,821.248
125,10,78,821.248
125,10,79,821.248
125,10,80,862.208
125,10,81,862.208
125,10,82,862.208
125,10,83,862.208
125,10,84,862.208
125,10,85,903.168
125,10,86,903.168
125,10,87,903.168
125,10,88,903.168
125,10,89,903.168
125,10,90,944.128
125,10,91,944.128
125,10,92,944.128
125,10,93,944.128
125,10,94,944.128
125,10,95,985.088
125,10,96,985.088
125,10,97,985.088
125,10,98,985.088
125,10,99,985.088
125,10,100,1026.048
125,10,101,1026.048
125,10,102,1026.048
125,10,103,1026.048
125,10,104,1026.048
125,10,105,1067.008
125,10,106,1067.008
125,10,107,1067.008
125,10,108,1067.008
125,10,109,1067.008
125,10,110,1107.968
125,10,111,1107.968
125,10,112,1107.968
125,10,113,1107.968
125,10,114,1107.968
125,10,115,1148.928
125,10,116,1148.928
125,10,117,1148.928
125,10,118,1148.928
125,10,119,1148.928
125,10,120,1189.888
125,10,121,1189.888
125,10,122,1189.888
125,10,123,1189.888
125,10,124,1189.888
125,10,125,1230.848
125,10,126,1230.848
125,10,127,1230.848
125,10,128,1230.848
125,11,0,331.776
125,11,1,413.696
125,11,2,413.696
125,11,3,413.696
125,11,4,413.696
125,11,5,495.616
125,11,6,495.616
125,11,7,495.616
125,11,8,495.616
125,11,9,495.616
125,11,10,577.536
125,11,11,577.536
125,11,12,577.536
125,11,13,577.536
125,11,14,659.456
125,11,15,659.456
125,11,16,659.456
125,11,17,659.456
125,11,18,659.456
125,11,19,741.376
125,11,20,741.376
125,11,21,741.376
125,11,22,741.376
125,11,23,823.296
125,11,24,823.296
125,11,25,823.296
125,11,26,823.296
125,11,27,823.296
125,11,28,905.216
125,11,29,905.216
125,11,30,905.216
125,11,31,905.216
125,11,32,987.136
125,11,33,987.136
125,11,34,987.136
125,11,35,987.136
125,11,36,987.136
125,11,37,1069.056
125,11,38,1069.056
125,11,39,1069.056
125,11,40,1069.056
125,11,41,1150.976
125,11,42,1150.976
125,11,43,1150.976
125,11,44,1150.976
125,11,45,1150.976
125,11,46,1232.896
125,11,47,1232.896
125,11,48,1232.896
125,11,49,1232.896
125,11,50,1314.816
125,11,51,1314.816
125,11,52,1314.816
125,11,53,1314.816
125,11,54,1314.816
125,11,55,1396.736
125,11,56,1396.736
125,11,57,1396.736
125,11,58,1396.736
125,11,59,1478.656
125,11,60,1478.656
125,11,61,1478.656
125,11,62,1478.656
125,11,63,1478.656
125,11,64,1560.576
125,11,65,1560.576
125,11,66,1560.576
125,11,67,1560.576
125,11,68,1642.496
125,11,69,1642.496
125,11,70,1642.496
125,11,71,1642.496
125,11,72,1642.496
125,11,73,1724.416
125,11,74,1724.416
125,11,75,1724.416
125,11,76,1724.416
125,11,77,1806.336
125,11,78,1806.336
125,11,79,1806.336
125,11,80,1806.336
125,11,81,1806.336
125,11,82,1888.256
125,11,83,1888.256
125,11,84,1888.256
125,11,85,1888.256
125,11,86,1970.176
125,11,87,1970.176
125,11,88,1970.176
125,11,89,1970.176
125,11,90,1970.176
125,11,91,2052.096
125,11,92,2052.096
125,11,93,2052.096
125,11,94,2052.096
125,11,95,2134.016
125,11,96,2134.016
125,11,97,2134.016
125,11,98,2134.016
125,11,99,2134.016
125,11,100,2215.936
125,11,101,2215.936
125,11,102,2215.936
125,11,103,2215.936
125,11,104,2297.856
125,11,105,2297.856
125,11,106,2297.856
125,11,107,2297.856
125,11,108,2297.856
125,11,109,2379.776
125,11,110,2379.776
125,11,111,2379.776
125,11,112,2379.776
125,11,113,2461.696
125,11,114,2461.696
125,11,115,2461.696
125,11,116,2461.696
125,11,117,2461.696
125,11,118,2543.616
125,11,119,2543.616
125,11,120,2543.616
125,11,121,2543.616
125,11,122,2625.536
125,11,123,2625.536
125,11,124,2625.536
125,11,125,2625.536
125,11,126,2625.536
125,11,127,2707.456
125,11,128,2707.456
125,12,0,663.552
125,12,1,827.392
125,12,2,827.392
125,12,3,827.392
125,12,4,827.392
125,12,5,827.392
125,12,6,991.232
125,12,7,991.232
125,12,8,991.232
125,12,9,991.232
125,12,10,991.232
125,12,11,1155.072
125,12,12,1155.072
125,12,13,1155.072
125,12,14,1155.072
125,12,15,1155.072
125,12,16,1318.912
125,12,17,1318.912
125,12,18,1318.912
125,12,19,1318.912
125,12,20,1318.912
125,12,21,1482.752
125,12,22,1482.752
125,12,23,1482.752
125,12,24,1482.752
125,12,25,1482.752
125,12,26,1646.592
125,12,27,1646.592
125,12,28,1646.592
125,12,29,1646.592
125,12,30,1646.592
125,12,31,1810.432
125,12,32,1810.432
125,12,33,1810.432
125,12,34,1810.432
125,12,35,1810.432
125,12,36,1974.272
125,12,37,1974.272
125,12,38,1974.272
125,12,39,1974.272
125,12,40,1974.272
125,12,41,2138.112
125,12,42,2138.112
125,12,43,2138.112
125,12,44,2138.112
125,12,45,2138.112
125,12,46,2301.952
125,12,47,2301.952
125,12,48,2301.952
125,12,49,2301.952
125,12,50,2301.952
125,12,51,2465.792
125,12,52,2465.792
125,12,53,2465.792
125,12,54,2465.792
125,12,55,2465.792
125,12,56,2629.632
125,12,57,2629.632
125,12,58,2629.632
125,12,59,2629.632
125,12,60,2629.632
125,12,61,2793.472
125,12,62,2793.472
125,12,63,2793.472
125,12,64,2793.472
125,12,65,2793.472
125,12,66,2957.312
125,12,67,2957.312
125,12,68,2957.312
125,12,69,2957.312
125,12,70,2957.312
125,12,71,3121.152
125,12,72,3121.152
125,12,73,3121.152
125,12,74,3121.152
125,12,75,3121.152
125,12,76,3284.992
125,12,77,3284.992
125,12,78,3284.992
125,12,79,3284.992
125,12,80,3284.992
125,12,81,3448.832
125,12,82,3448.832
125,12,83,3448.832
125,12,84,3448.832
125,12,85,3448.832
125,12,86,3612.672
125,12,87,3612.672
125,12,88,3612.672
125,12,89,3612.672
125,12,90,3612.672
125,12,91,3776.512
125,12,92,3776.512
125,12,93,3776.512
125,12,94,3776.512
125,12,95,3776.512
125,12,96,3940.352
125,12,97,3940.352
125,12,98,3940.352
125,12,99,3940.352
125,12,100,3940.352
125,12,101,4104.192
125,12,102,4104.192
125,12,103,4104.192
125,12,104,4104.192
125,12,105,4104.192
125,12,106,4268.032
125,12,107,4268.032
125,12,108,4268.032
125,12,109,4268.032
125,12,110,4268.032
125,12,111,4431.872
125,12,112,4431.872
125,12,113,4431.872
125,12,114,4431.872
125,12,115,4431.872
125,12,116,4595.712
125,12,117,4595.712
125,12,118,4595.712
125,12,119,4595.712
125,12,120,4595.712
125,12,121,4759.552
125,12,122,4759.552
125,12,123,4759.552
125,12,124,4759.552
125,12,125,4759.552
125,12,126,4923.392
125,12,127,4923.392
125,12,128,4923.392
